"sub_interest" "Freq"
"701" "next" 1
"702" "night" 1
"703" "noblesville" 1
"704" "northwest" 1
"705" "obviously" 1
"706" "occupants" 1
"707" "occurred" 1
"708" "offer" 1
"709" "officers" 1
"710" "officials" 1
"711" "offset" 1
"712" "onesin" 1
"713" "ongoing" 1
"714" "order" 1
"715" "original" 1
"716" "outcome" 1
"717" "outdated" 1
"718" "outlining" 1
"719" "outsmart" 1
"720" "overpaid" 1
"721" "overpass" 1
"722" "overturned" 1
"723" "pacific" 1
"724" "packs" 1
"725" "page" 1
"726" "pandas" 1
"727" "panned" 1
"728" "paradise" 1
"729" "pardoning" 1
"730" "paris" 1
"731" "parking" 1
"732" "parkland" 1
"733" "partners" 1
"734" "parts" 1
"735" "party" 1
"736" "pastor" 1
"737" "patients" 1
"738" "peak" 1
"739" "pennsylvania" 1
"740" "perhaps" 1
"741" "person" 1
"742" "personalize" 1
"743" "phil" 1
"744" "philadelphia" 1
"745" "photos" 1
"746" "photoshoot" 1
"747" "piles" 1
"748" "pine" 1
"749" "pitcher" 1
"750" "plains" 1
"751" "plan" 1
"752" "planted" 1
"753" "play" 1
"754" "played" 1
"755" "playing" 1
"756" "pleaded" 1
"757" "plenty" 1
"758" "poked" 1
"759" "polarization" 1
"760" "popular" 1
"761" "population" 1
"762" "portrayed" 1
"763" "possibility" 1
"764" "possible" 1
"765" "possibly" 1
"766" "posted" 1
"767" "practices" 1
"768" "precondition" 1
"769" "premiered" 1
"770" "prepared" 1
"771" "preparing" 1
"772" "presage" 1
"773" "presence" 1
"774" "present" 1
"775" "prevention" 1
"776" "previously" 1
"777" "prince" 1
"778" "princesses" 1
"779" "problematic" 1
"780" "problems" 1
"781" "produce" 1
"782" "production" 1
"783" "programs" 1
"784" "progress" 1
"785" "promote" 1
"786" "prompt" 1
"787" "prospect" 1
"788" "protection" 1
"789" "proved" 1
"790" "providing" 1
"791" "pruitt" 1
"792" "pull" 1
"793" "pulls" 1
"794" "punched" 1
"795" "punching" 1
"796" "puppies" 1
"797" "pyongyangs" 1
"798" "queen" 1
"799" "queer" 1
"800" "racked" 1
"801" "raising" 1
"802" "range" 1
"803" "rapped" 1
"804" "rare" 1
"805" "rate" 1
"806" "reacted" 1
"807" "reactions" 1
"808" "reaffirmation" 1
"809" "real" 1
"810" "reality" 1
"811" "realizes" 1
"812" "really" 1
"813" "reason" 1
"814" "reasons" 1
"815" "rebalance" 1
"816" "recaptured" 1
"817" "received" 1
"818" "recommend" 1
"819" "record" 1
"820" "recorded" 1
"821" "records" 1
"822" "regret" 1
"823" "regrettable" 1
"824" "release" 1
"825" "reminder" 1
"826" "remove" 1
"827" "reported" 1
"828" "reportedly" 1
"829" "reporter" 1
"830" "reports" 1
"831" "represented" 1
"832" "republicans" 1
"833" "responded" 1
"834" "result" 1
"835" "resulted" 1
"836" "retraction" 1
"837" "return" 1
"838" "richardson" 1
"839" "rick" 1
"840" "ridge" 1
"841" "right" 1
"842" "rights" 1
"843" "rings" 1
"844" "rocks" 1
"845" "roger" 1
"846" "rolling" 1
"847" "round" 1
"848" "rule" 1
"849" "rules" 1
"850" "runs" 1
"851" "safari" 1
"852" "samantha" 1
"853" "sanders" 1
"854" "santa" 1
"855" "sarah" 1
"856" "saving" 1
"857" "scared" 1
"858" "schwartz" 1
"859" "science" 1
"860" "scientists" 1
"861" "scrapes" 1
"862" "screaming" 1
"863" "scripps" 1
"864" "sears" 1
"865" "seat" 1
"866" "secret" 1
"867" "section" 1
"868" "seeing" 1
"869" "seems" 1
"870" "senators" 1
"871" "sending" 1
"872" "sense" 1
"873" "sentence" 1
"874" "sergeant" 1
"875" "series" 1
"876" "severe" 1
"877" "severing" 1
"878" "shatters" 1
"879" "shelter" 1
"880" "sheriffs" 1
"881" "shift" 1
"882" "shocked" 1
"883" "shooter" 1
"884" "shooting" 1
"885" "shootings" 1
"886" "shore" 1
"887" "short" 1
"888" "sight" 1
"889" "significant" 1
"890" "signing" 1
"891" "singapore" 1
"892" "single" 1
"893" "sister" 1
"894" "sisters" 1
"895" "slavery" 1
"896" "sleeping" 1
"897" "snohomish" 1
"898" "soldier" 1
"899" "solid" 1
"900" "somewhere" 1
"901" "soon" 1
"902" "southern" 1
"903" "souza" 1
"904" "specialist" 1
"905" "spellers" 1
"906" "spent" 1
"907" "splash" 1
"908" "spoke" 1
"909" "sponsorship" 1
"910" "spotlight" 1
"911" "spotted" 1
"912" "springfield" 1
"913" "spurred" 1
"914" "standard" 1
"915" "star" 1
"916" "start" 1
"917" "states" 1
"918" "stepped" 1
"919" "steven" 1
"920" "stewart" 1
"921" "stopped" 1
"922" "storage" 1
"923" "store" 1
"924" "storm" 1
"925" "story" 1
"926" "straightforward" 1
"927" "strategic" 1
"928" "streak" 1
"929" "strike" 1
"930" "structure" 1
"931" "student" 1
"932" "students" 1
"933" "study" 1
"934" "subjects" 1
"935" "subtle" 1
"936" "sudden" 1
"937" "suffered" 1
"938" "suing" 1
"939" "sunset" 1
"940" "supportive" 1
"941" "survivors" 1
"942" "suspect" 1
"943" "suspected" 1
"944" "system" 1
"945" "tackle" 1
"946" "taking" 1
"947" "tariff" 1
"948" "tariffs" 1
"949" "teachers" 1
"950" "telling" 1
"951" "tennis" 1
"952" "testify" 1
"953" "thai" 1
"954" "thank" 1
"955" "thanked" 1
"956" "thanks" 1
"957" "theyre" 1
"958" "things" 1
"959" "thinks" 1
"960" "threatening" 1
"961" "thrill" 1
"962" "thunderstorms" 1
"963" "thwarted" 1
"964" "toddlers" 1
"965" "tolerated" 1
"966" "tool" 1
"967" "topic" 1
"968" "total" 1
"969" "touches" 1
"970" "tourists" 1
"971" "toward" 1
"972" "town" 1
"973" "tracks" 1
"974" "trade" 1
"975" "traffic" 1
"976" "transgender" 1
"977" "trapped" 1
"978" "travers" 1
"979" "treats" 1
"980" "trending" 1
"981" "troubles" 1
"982" "trying" 1
"983" "tuesday" 1
"984" "tweeted" 1
"985" "tweets" 1
"986" "ukrainian" 1
"987" "underscored" 1
"988" "unemployment" 1
"989" "union" 1
"990" "unit" 1
"991" "united" 1
"992" "unsubstantiated" 1
"993" "upset" 1
"994" "urged" 1
"995" "vehicle" 1
"996" "vermont" 1
"997" "video" 1
"998" "violated" 1
"999" "violating" 1
"1000" "violence" 1
"1001" "voted" 1
"1002" "voting" 1
"1003" "walk" 1
"1004" "walked" 1
"1005" "walking" 1
"1006" "wall" 1
"1007" "warning" 1
"1008" "watchdog" 1
"1009" "water" 1
"1010" "waterfall" 1
"1011" "ways" 1
"1012" "weapon" 1
"1013" "weapons" 1
"1014" "website" 1
"1015" "wednesday" 1
"1016" "weekend" 1
"1017" "weeks" 1
"1018" "welcome" 1
"1019" "welcoming" 1
"1020" "well" 1
"1021" "wettest" 1
"1022" "whistler" 1
"1023" "whole" 1
"1024" "whose" 1
"1025" "widespread" 1
"1026" "wielding" 1
"1027" "wiggins" 1
"1028" "windshield" 1
"1029" "winner" 1
"1030" "within" 1
"1031" "witness" 1
"1032" "wonderful" 1
"1033" "word" 1
"1034" "workers" 1
"1035" "worry" 1
"1036" "wreckage" 1
"1037" "wrecked" 1
"1038" "writes" 1
"1039" "wrongfully" 1
"1040" "wsamtzx" 1
"1041" "wshafu" 1
"1042" "wshceys" 1
"1043" "wsheull" 1
"1044" "wshfejw" 1
"1045" "wshik" 1
"1046" "wshxiz" 1
"1047" "wshya" 1
"1048" "wsizdf" 1
"1049" "wsizix" 1
"1050" "wsizpao" 1
"1051" "wsizql" 1
"1052" "wsjba" 1
"1053" "wsjerd" 1
"1054" "wsjevt" 1
"1055" "wsjhp" 1
"1056" "wsjla" 1
"1057" "wsjlp" 1
"1058" "wsjpqt" 1
"1059" "wsjpyf" 1
"1060" "wsjqxm" 1
"1061" "wsjwrz" 1
"1062" "wsjyaz" 1
"1063" "wsjyv" 1
"1064" "wsjzrv" 1
"1065" "wslbkbs" 1
"1066" "wslcph" 1
"1067" "wslfis" 1
"1068" "wslfysc" 1
"1069" "wslgfs" 1
"1070" "wyoming" 1
"1071" "years" 1
"1072" "young" 1
"1073" "youth" 1
"1074" "zimmerman" 1
